year,id,ext,den,cal,Reef
1746,ABR01A,0.5840,1.3180,0.7700,ABR
1747,ABR01A,0.7370,1.3300,0.9790,ABR
1748,ABR01A,0.9140,1.3470,1.2310,ABR
1749,ABR01A,0.4060,1.3480,0.5480,ABR
1750,ABR01A,0.4570,1.3830,0.6320,ABR
1751,ABR01A,0.7110,1.3670,0.9720,ABR
1752,ABR01A,0.6860,1.3560,0.9300,ABR
1753,ABR01A,0.4830,1.3560,0.6540,ABR
1754,ABR01A,1.0160,1.3890,1.4110,ABR
1755,ABR01A,0.9140,1.3870,1.2680,ABR
1756,ABR01A,1.0920,1.4170,1.5470,ABR
1757,ABR01A,0.2790,1.4510,0.4050,ABR
1758,ABR01A,1.1180,1.3510,1.5100,ABR
1759,ABR01A,0.7370,1.2380,0.9120,ABR
1760,ABR01A,1.0670,1.2610,1.3460,ABR
1761,ABR01A,1.1180,1.3350,1.4920,ABR
1762,ABR01A,0.6100,1.3120,0.8000,ABR
1763,ABR01A,1.0670,1.3320,1.4210,ABR
1764,ABR01A,0.7870,1.2960,1.0210,ABR
